entid,q502,q502_1,q502_2,q502_3
133ed85c-86a0-43b6-bce4-cd8145c273d3,Solid-fuel stove,0,0,0
137f46f8-bd70-4d86-a972-33896c016c26,Biogas stove,0,0,0
137f46f8-bd70-4d86-a972-33896c016c26,Electric cooking device,0,0,0
137f46f8-bd70-4d86-a972-33896c016c26,Kerosene fuel / other liquid fuel stove,0,0,0
137f46f8-bd70-4d86-a972-33896c016c26,LPG stove,2,240,9600
137f46f8-bd70-4d86-a972-33896c016c26,Other,0,0,0
137f46f8-bd70-4d86-a972-33896c016c26,Solid-fuel stove,1,240,3000
1a93b7f5-f0c9-4a31-9d3e-c0465002fc9a,Biogas stove,0,0,0
1a93b7f5-f0c9-4a31-9d3e-c0465002fc9a,Electric cooking device,0,0,0
1a93b7f5-f0c9-4a31-9d3e-c0465002fc9a,Kerosene fuel / other liquid fuel stove,0,0,0
1a93b7f5-f0c9-4a31-9d3e-c0465002fc9a,LPG stove,0,0,0
1a93b7f5-f0c9-4a31-9d3e-c0465002fc9a,Other,0,0,0
1a93b7f5-f0c9-4a31-9d3e-c0465002fc9a,Solid-fuel stove,2,240,6000
1ac839a9-0169-4982-b31a-a6f8a9064b3c,Biogas stove,0,0,0
1ac839a9-0169-4982-b31a-a6f8a9064b3c,Electric cooking device,0,0,0
1ac839a9-0169-4982-b31a-a6f8a9064b3c,Kerosene fuel / other liquid fuel stove,1,90,4000
1ac839a9-0169-4982-b31a-a6f8a9064b3c,LPG stove,0,0,0
1ac839a9-0169-4982-b31a-a6f8a9064b3c,Other,0,0,0
1ac839a9-0169-4982-b31a-a6f8a9064b3c,Solid-fuel stove,0,0,0
1bf72135-d099-4d6a-8daa-f7c3d7068b84,Biogas stove,0,0,0
1bf72135-d099-4d6a-8daa-f7c3d7068b84,Electric cooking device,0,0,0
1bf72135-d099-4d6a-8daa-f7c3d7068b84,Kerosene fuel / other liquid fuel stove,1,90,4000
1bf72135-d099-4d6a-8daa-f7c3d7068b84,LPG stove,1,300,12000
1bf72135-d099-4d6a-8daa-f7c3d7068b84,Other,0,0,0
1bf72135-d099-4d6a-8daa-f7c3d7068b84,Solid-fuel stove,0,0,0
2057b8ed-dadc-4c97-acc6-2e1e0b7887db,Biogas stove,0,0,0
2057b8ed-dadc-4c97-acc6-2e1e0b7887db,Electric cooking device,0,0,0
2057b8ed-dadc-4c97-acc6-2e1e0b7887db,Kerosene fuel / other liquid fuel stove,0,0,0
2057b8ed-dadc-4c97-acc6-2e1e0b7887db,LPG stove,0,0,0
2057b8ed-dadc-4c97-acc6-2e1e0b7887db,Other,0,0,0
2057b8ed-dadc-4c97-acc6-2e1e0b7887db,Solid-fuel stove,3,180,0
2155349c-3e8b-4db0-abb2-a95d5e38e2ee,Biogas stove,0,0,0
2155349c-3e8b-4db0-abb2-a95d5e38e2ee,Electric cooking device,0,0,0
2155349c-3e8b-4db0-abb2-a95d5e38e2ee,Kerosene fuel / other liquid fuel stove,2,90,4700
2155349c-3e8b-4db0-abb2-a95d5e38e2ee,LPG stove,2,65,10000
2155349c-3e8b-4db0-abb2-a95d5e38e2ee,Other,0,0,0
2155349c-3e8b-4db0-abb2-a95d5e38e2ee,Solid-fuel stove,0,0,0
217ee94a-9c7e-4cc7-bc54-d92ab19a1db8,Biogas stove,0,0,0
217ee94a-9c7e-4cc7-bc54-d92ab19a1db8,Electric cooking device,0,0,0
217ee94a-9c7e-4cc7-bc54-d92ab19a1db8,Kerosene fuel / other liquid fuel stove,2,80,4860
217ee94a-9c7e-4cc7-bc54-d92ab19a1db8,LPG stove,2,156,1200
217ee94a-9c7e-4cc7-bc54-d92ab19a1db8,Other,0,0,0
217ee94a-9c7e-4cc7-bc54-d92ab19a1db8,Solid-fuel stove,0,0,0
26570223-476d-4cce-89b6-0628e8617479,Biogas stove,0,0,0
26570223-476d-4cce-89b6-0628e8617479,Electric cooking device,0,0,0
26570223-476d-4cce-89b6-0628e8617479,Kerosene fuel / other liquid fuel stove,1,120,2000
26570223-476d-4cce-89b6-0628e8617479,LPG stove,0,0,0
26570223-476d-4cce-89b6-0628e8617479,Other,0,0,0
26570223-476d-4cce-89b6-0628e8617479,Solid-fuel stove,0,0,0
2667e8f4-4f92-4ae8-ad06-f413017b0abe,Biogas stove,0,0,0
2667e8f4-4f92-4ae8-ad06-f413017b0abe,Electric cooking device,0,0,0
2667e8f4-4f92-4ae8-ad06-f413017b0abe,Kerosene fuel / other liquid fuel stove,0,0,0
2667e8f4-4f92-4ae8-ad06-f413017b0abe,LPG stove,1,120,5000
2667e8f4-4f92-4ae8-ad06-f413017b0abe,Other,0,0,0
2667e8f4-4f92-4ae8-ad06-f413017b0abe,Solid-fuel stove,0,0,0
282ee228-9deb-444c-9028-7c5567d14e0b,Biogas stove,0,0,0
282ee228-9deb-444c-9028-7c5567d14e0b,Electric cooking device,0,0,0
282ee228-9deb-444c-9028-7c5567d14e0b,Kerosene fuel / other liquid fuel stove,0,0,0
282ee228-9deb-444c-9028-7c5567d14e0b,LPG stove,1,30,1800
282ee228-9deb-444c-9028-7c5567d14e0b,Other,0,0,0
282ee228-9deb-444c-9028-7c5567d14e0b,Solid-fuel stove,0,0,0
2a2be3db-a6d2-473d-aebf-ef6415effc13,Biogas stove,0,0,0
2a2be3db-a6d2-473d-aebf-ef6415effc13,Electric cooking device,0,0,0
2a2be3db-a6d2-473d-aebf-ef6415effc13,Kerosene fuel / other liquid fuel stove,1,120,5000
2a2be3db-a6d2-473d-aebf-ef6415effc13,LPG stove,3,240,20000
2a2be3db-a6d2-473d-aebf-ef6415effc13,Other,0,0,0
2a2be3db-a6d2-473d-aebf-ef6415effc13,Solid-fuel stove,0,0,0
2a84b32b-22d1-4a7d-8252-d410981fab16,Biogas stove,0,0,0
2a84b32b-22d1-4a7d-8252-d410981fab16,Electric cooking device,0,0,0
2a84b32b-22d1-4a7d-8252-d410981fab16,Kerosene fuel / other liquid fuel stove,0,0,0
2a84b32b-22d1-4a7d-8252-d410981fab16,LPG stove,0,0,0
2a84b32b-22d1-4a7d-8252-d410981fab16,Other,0,0,0
2a84b32b-22d1-4a7d-8252-d410981fab16,Solid-fuel stove,1,780,15000
2ad51367-b9c9-4297-a325-5b1a2c6679cc,Biogas stove,0,0,0
2ad51367-b9c9-4297-a325-5b1a2c6679cc,Electric cooking device,0,0,0
2ad51367-b9c9-4297-a325-5b1a2c6679cc,Kerosene fuel / other liquid fuel stove,1,150,2400
2ad51367-b9c9-4297-a325-5b1a2c6679cc,LPG stove,1,120,3500
2ad51367-b9c9-4297-a325-5b1a2c6679cc,Other,0,0,0
2ad51367-b9c9-4297-a325-5b1a2c6679cc,Solid-fuel stove,0,0,0
2ae43cb9-a0fd-4d24-9890-3e9aed7d6b1f,Biogas stove,1,90,3500
2ae43cb9-a0fd-4d24-9890-3e9aed7d6b1f,Electric cooking device,0,0,0
2ae43cb9-a0fd-4d24-9890-3e9aed7d6b1f,Kerosene fuel / other liquid fuel stove,0,0,0
2ae43cb9-a0fd-4d24-9890-3e9aed7d6b1f,LPG stove,0,0,0
2ae43cb9-a0fd-4d24-9890-3e9aed7d6b1f,Other,0,0,0
2ae43cb9-a0fd-4d24-9890-3e9aed7d6b1f,Solid-fuel stove,0,0,0
2cefcccc-42f4-4d05-bcfd-0413243c4da6,Biogas stove,0,0,0
2cefcccc-42f4-4d05-bcfd-0413243c4da6,Electric cooking device,0,0,0
2cefcccc-42f4-4d05-bcfd-0413243c4da6,Kerosene fuel / other liquid fuel stove,0,0,0
2cefcccc-42f4-4d05-bcfd-0413243c4da6,LPG stove,2,60,3000
2cefcccc-42f4-4d05-bcfd-0413243c4da6,Other,0,0,0
