zone,state,eaid,wpop,hhsize,hhs,urca_cat,urca,asset_cat,asset,elec2013,elec2016,elec2019
North West,Kaduna,KD_81,3188,5.5,580,<1hr to small city/town+,12,Low Wealth,6,0,0,1
North West,Kaduna,KD_80,2053,5.5,373,<1hr to small city/town+,12,Low Wealth,5,0,0,1
North West,Kaduna,KD_78,1350,5.5,245,<1hr to small city/town+,16,Low Wealth,5,0,0,1
North West,Kaduna,KD_98,14527,5.5,2641,Town,7,High Wealth,8,1,1,1
North West,Kano,KN_107,11324,6.2,1826,Town,7,Low Wealth,5,0,1,1
North West,Kano,KN_124,10405,6.2,1678,Town,7,High Wealth,7,1,1,1
North West,Kaduna,KD_95,8930,5.5,1624,Town,7,High Wealth,7,0,0,1
North West,Kano,KN_106,9654,6.2,1557,Town,7,High Wealth,7,1,1,1
North West,Kaduna,KD_97,7806,5.5,1419,Town,7,High Wealth,7,1,0,1
North West,Kano,KN_113,8451,6.2,1363,Town,7,Low Wealth,6,0,0,1
North West,Kano,KN_109,8240,6.2,1329,Town,7,Low Wealth,6,1,1,1
North West,Kaduna,KD_96,7192,5.5,1308,Town,7,High Wealth,7,1,0,1
North West,Kano,KN_105,6643,6.2,1071,Town,7,Low Wealth,6,0,1,1
North West,Zamfara,ZA_246,5780,6.2,932,Town,7,Low Wealth,6,0,1,1
North West,Kano,KN_111,5667,6.2,914,Town,7,Low Wealth,6,1,1,1
North West,Katsina,KT_147,5507,6.3,874,Town,7,High Wealth,7,0,0,1
North West,Katsina,KT_139,5168,6.3,820,Town,7,Low Wealth,6,0,1,1
North West,Kano,KN_121,4980,6.2,803,Town,7,Low Wealth,6,1,1,1
North West,Kano,KN_127,3193,6.2,515,Town,7,Low Wealth,6,0,1,1
North West,Katsina,KT_146,2092,6.3,332,Town,7,Low Wealth,5,1,1,1
South South,Delta,DE_24,4513,3.4,1327,<1hr to int. city,10,High Wealth,8,1,1,1
South South,Delta,DE_21,3669,3.4,1079,<1hr to int. city,10,High Wealth,8,1,1,1
South South,Delta,DE_25,3349,3.4,985,<1hr to int. city,10,High Wealth,8,1,1,1
South South,Delta,DE_17,3054,3.4,898,<1hr to int. city,10,High Wealth,8,1,1,1
South South,Delta,DE_22,2685,3.4,790,<1hr to int. city,10,High Wealth,8,1,1,1
South South,Delta,DE_19,2599,3.4,764,<1hr to int. city,11,High Wealth,8,1,1,1
South South,Delta,DE_26,2508,3.4,738,<1hr to int. city,10,High Wealth,8,1,1,1
South South,Delta,DE_29,2417,3.4,711,<1hr to int. city,10,High Wealth,8,1,0,1
South South,Akwa Ibom,AK_2,2481,3.7,671,<1hr to int. city,10,High Wealth,8,1,1,1
South South,Akwa Ibom,AK_6,2449,3.7,662,<1hr to int. city,10,High Wealth,8,1,1,1
South South,Akwa Ibom,AK_9,2290,3.7,619,<1hr to int. city,10,High Wealth,8,1,1,1
South South,Delta,DE_27,2071,3.4,609,<1hr to int. city,10,High Wealth,8,1,1,1
South South,Akwa Ibom,AK_5,2166,3.7,585,<1hr to int. city,10,High Wealth,8,1,1,1
South South,Delta,DE_20,1503,3.4,442,<1hr to int. city,10,High Wealth,8,0,0,1
South South,Delta,DE_18,788,3.4,232,<1hr to int. city,10,High Wealth,8,1,1,1
South South,Delta,DE_23,740,3.4,218,<1hr to int. city,10,High Wealth,8,1,0,1
South South,Rivers,RI_209,11334,3.8,2983,<1hr to large city,9,High Wealth,9,1,1,1
South South,Rivers,RI_240,10002,3.8,2632,<1hr to large city,9,High Wealth,9,1,1,1
South South,Rivers,RI_233,9931,3.8,2613,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_208,9066,3.8,2386,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_235,8875,3.8,2336,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_217,8252,3.8,2172,<1hr to large city,9,High Wealth,9,1,1,1
South South,Rivers,RI_236,7395,3.8,1946,<1hr to large city,9,High Wealth,9,1,1,1
South South,Rivers,RI_211,6981,3.8,1837,<1hr to large city,9,High Wealth,9,1,1,1
South South,Rivers,RI_216,6924,3.8,1822,<1hr to large city,9,High Wealth,9,1,1,1
South South,Rivers,RI_218,6713,3.8,1767,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_225,6715,3.8,1767,<1hr to large city,9,High Wealth,9,1,1,1
South South,Rivers,RI_220,6334,3.8,1667,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_228,5850,3.8,1539,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_231,5713,3.8,1503,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_210,5525,3.8,1454,<1hr to large city,9,High Wealth,9,1,1,1
South South,Akwa Ibom,AK_4,5058,3.7,1367,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_223,4895,3.8,1288,<1hr to large city,9,High Wealth,9,1,1,1
South South,Akwa Ibom,AK_3,4646,3.7,1256,<1hr to large city,9,High Wealth,8,1,1,1
South South,Akwa Ibom,AK_13,4230,3.7,1143,<1hr to large city,9,High Wealth,8,1,1,1
South South,Akwa Ibom,AK_16,4045,3.7,1093,<1hr to large city,9,High Wealth,9,1,1,1
South South,Akwa Ibom,AK_12,4034,3.7,1090,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_227,3941,3.8,1037,<1hr to large city,9,High Wealth,8,1,1,1
South South,Akwa Ibom,AK_11,3655,3.7,988,<1hr to large city,9,High Wealth,8,1,1,1
South South,Akwa Ibom,AK_7,2902,3.7,784,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_224,2899,3.8,763,<1hr to large city,9,High Wealth,9,1,1,1
South South,Rivers,RI_222,2809,3.8,739,<1hr to large city,9,High Wealth,8,1,1,1
South South,Edo,ED_46,2704,3.8,712,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_237,2575,3.8,678,<1hr to large city,9,High Wealth,8,1,1,1
South South,Rivers,RI_226,2568,3.8,676,<1hr to large city,9,High Wealth,7,1,1,1
South South,Rivers,RI_221,2325,3.8,612,<1hr to large city,9,High Wealth,8,1,1,1
